img_name,pose_name,class,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_index_x,left_index_y,right_index_x,right_index_y,left_thumb_x,left_thumb_y,right_thumb_x,right_thumb_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_heel_x,left_heel_y,right_heel_x,right_heel_y,left_foot_index_x,left_foot_index_y,right_foot_index_x,right_foot_index_y
Bound_Angle_Pose (10),Bound_Angle,0,0.575,0.21314741035856574,0.5847222222222223,0.16733067729083664,0.6027777777777777,0.1752988047808765,0.6902777777777778,0.39243027888446214,0.6208333333333333,0.34860557768924305,0.6722222222222223,0.6274900398406374,0.6083333333333333,0.6115537848605578,0.5565952062606812,0.7549357414245605,0.47412121295928955,0.7709226012229919,0.5280507802963257,0.8101044297218323,0.49943310022354126,0.8109908699989319,0.5412904024124146,0.812211275100708,0.48462891578674316,0.8191542625427246,0.7,0.7350597609561753,0.6722222222222223,0.7171314741035857,0.7271472215652466,0.6320188045501709,0.5847222222222223,0.6792828685258964,0.555587112903595,0.7673842310905457,0.4624135494232178,0.7754146456718445,0.5314288139343262,0.7692150473594666,0.4812604486942291,0.7773069143295288,0.5282254219055176,0.8238530158996582,0.5002753734588623,0.8372792601585388
Bound_Angle_Pose (114),Bound_Angle,0,0.5209886431694031,0.3476674556732178,0.5151621103286743,0.2843710780143738,0.5375146269798279,0.2900103032588959,0.43304604291915894,0.2966175675392151,0.6030312776565552,0.35346055030822754,0.3333333333333333,0.59375,0.68144291639328,0.6082066297531128,0.29444444444444445,0.7725694444444444,0.7625,0.7395833333333334,0.2722222222222222,0.8559027777777778,0.7736111111111111,0.8263888888888888,0.20555555555555555,0.7847222222222222,0.8361111111111111,0.7638888888888888,0.4388888888888889,0.5555555555555556,0.5694444444444444,0.5295138888888888,0.19583333333333333,0.484375,0.7944444444444444,0.4722222222222222,0.42916666666666664,0.7447916666666666,0.6263888888888889,0.7065972222222222,0.5083333333333333,0.7222222222222222,0.5694444444444444,0.7135416666666666,0.5263888888888889,0.7795138888888888,0.5611111111111111,0.7777777777777778
Bound_Angle_Pose (116),Bound_Angle,0,0.5781198143959045,0.7956808805465698,0.5936167240142822,0.803112268447876,0.569459855556488,0.7915118336677551,0.6749798655509949,0.7545397281646729,0.5064014792442322,0.7268624901771545,0.6821830868721008,0.7510273456573486,0.39861111111111114,0.5104166666666666,0.6144742369651794,0.8376763463020325,0.600387454032898,0.676153838634491,0.5887491106987,0.8608831167221069,0.6309046745300293,0.6728830337524414,0.6080010533332825,0.8658390045166016,0.608238697052002,0.6876811981201172,0.6166666666666667,0.5208333333333334,0.49027777777777776,0.525,0.9125,0.5979166666666667,0.23472222222222222,0.6375,0.6611111111111111,0.7291666666666666,0.5055555555555555,0.7104166666666667,0.5361111111111111,0.6916666666666667,0.525,0.71875,0.6138888888888889,0.73125,0.5611111111111111,0.7333333333333333
Bound_Angle_Pose (118),Bound_Angle,0,0.5282559990882874,0.3284933865070343,0.5322575569152832,0.30941686034202576,0.5032775402069092,0.3075198829174042,0.5286054611206055,0.4269450306892395,0.33089742064476013,0.43232443928718567,0.601871907711029,0.5901487469673157,0.4443928003311157,0.6112154722213745,0.7634615898132324,0.6916351914405823,0.667938232421875,0.705775797367096,0.8220140933990479,0.7102166414260864,0.7933194154488518,0.7513888888888889,0.837160751565762,0.6888888888888889,0.7215385437011719,0.7331721186637878,0.4968684759916493,0.6458333333333334,0.4112734864300626,0.6652777777777777,0.7640918580375783,0.5847222222222223,0.3444676409185804,0.7291666666666666,0.6784968684759917,0.7138888888888889,0.6221294363256785,0.7694444444444445,0.7745302713987474,0.7430555555555556,0.6576200417536534,0.7597222222222222,0.4769420027732849,0.7474076747894287,0.6924751400947571,0.6979497671127319
Bound_Angle_Pose (123),Bound_Angle,0,0.45551571249961853,0.31469106674194336,0.48875313997268677,0.260370135307312,0.41898873448371887,0.26324784755706787,0.6403777003288269,0.3972115218639374,0.315206915140152,0.42340800166130066,0.7971051931381226,0.763694167137146,0.14027777777777778,0.7799607072691552,0.5777777777777777,0.8369351669941061,0.3416666666666667,0.8683693516699411,0.48055555555555557,0.925343811394892,0.43194444444444446,0.8801571709233792,0.5152777777777777,0.8271119842829077,0.41805555555555557,0.8290766208251473,0.6035155057907104,0.71979820728302,0.4064890146255493,0.7312518954277039,0.9429989457130432,0.7135072350502014,0.04394051432609558,0.7185825109481812,0.5916666666666667,0.9076620825147348,0.3766098618507385,0.9001899361610413,0.5444444444444444,0.8742632612966601,0.4178852140903473,0.8813269138336182,0.5053392052650452,0.9615651369094849,0.4388888888888889,0.931237721021611
Bound_Angle_Pose (129),Bound_Angle,0,0.6669224500656128,0.482767254114151,0.6917421817779541,0.44920602440834045,0.6408573985099792,0.4407298266887665,0.7486532330513,0.5723881721496582,0.5263888888888889,0.58125,0.7402777777777778,0.6645833333333333,0.4722222222222222,0.6270833333333333,0.6769418716430664,0.8654865026473999,0.5267616510391235,0.8322316408157349,0.6453205943107605,0.8812658786773682,0.5537233352661133,0.8694995045661926,0.6720966100692749,0.9098525047302246,0.5350167155265808,0.8876398205757141,0.6801617741584778,0.7459989786148071,0.5565459132194519,0.7370429635047913,0.9055555555555556,0.7166666666666667,0.28194444444444444,0.79375,0.6643580794334412,0.8427644968032837,0.5318111777305603,0.8725731372833252,0.6298121213912964,0.8350428342819214,0.5630155205726624,0.8645193576812744,0.6264104247093201,0.8842645287513733,0.5691301822662354,0.9096792936325073
Bound_Angle_Pose (131),Bound_Angle,0,0.542477548122406,0.24042531847953796,0.5572608709335327,0.20980742573738098,0.5303252339363098,0.2135690450668335,0.68233722448349,0.32563385367393494,0.5180556774139404,0.3315872550010681,0.682085394859314,0.5630811452865601,0.47519224882125854,0.5231279134750366,0.5704184770584106,0.701903760433197,0.4845963418483734,0.6889989376068115,0.5286343097686768,0.7129327058792114,0.5015125274658203,0.7229050993919373,0.5406545400619507,0.7368872165679932,0.48864322900772095,0.7374996542930603,0.6651249527931213,0.6194824576377869,0.5600187182426453,0.6123197078704834,0.8277906775474548,0.7135348320007324,0.36453402042388916,0.6180302500724792,0.5894963145256042,0.7359009981155396,0.5657778382301331,0.7191078662872314,0.5787615180015564,0.7132039070129395,0.5969366431236267,0.6965760588645935,0.5022555589675903,0.7701756954193115,0.6215283274650574,0.7452532649040222
Bound_Angle_Pose (133),Bound_Angle,0,0.5034893751144409,0.2389494776725769,0.5158058404922485,0.21013414859771729,0.4864766001701355,0.21331584453582764,0.5751122832298279,0.40563157200813293,0.4233415424823761,0.41386207938194275,0.585206925868988,0.6365388631820679,0.4183301627635956,0.6466761827468872,0.5541666666666667,0.775,0.45,0.775,0.5236111111111111,0.8583333333333333,0.48194444444444445,0.8694444444444445,0.5152777777777777,0.7888888888888889,0.4847222222222222,0.7861111111111111,0.5431450605392456,0.7274134159088135,0.46010345220565796,0.7341845035552979,0.6724220514297485,0.6314491033554077,0.32987791299819946,0.6419340968132019,0.5430555555555555,0.8138888888888889,0.4625,0.8305555555555556,0.5097222222222222,0.8055555555555556,0.49166666666666664,0.8055555555555556,0.5055555555555555,0.8527777777777777,0.49583333333333335,0.8583333333333333
Bound_Angle_Pose (135),Bound_Angle,0,0.5,0.6583333333333333,0.5242718446601942,0.6430555555555556,0.47572815533980584,0.6402777777777777,0.6158667206764221,0.6103795170783997,0.38185036182403564,0.6162720322608948,0.7206734418869019,0.7095537185668945,0.26814955472946167,0.7180509567260742,0.8303744792938232,0.7990822792053223,0.15195855498313904,0.8056612014770508,0.8964401294498382,0.8111111111111111,0.04692556634304207,0.825,0.86084142394822,0.8208333333333333,0.11356490850448608,0.814102292060852,0.5473268628120422,0.7252064943313599,0.41844648122787476,0.7262557148933411,0.7051959037780762,0.7889459133148193,0.2673088014125824,0.7632049322128296,0.46763754045307443,0.8041666666666667,0.5235875844955444,0.7701672315597534,0.43851132686084143,0.7861111111111111,0.5355987055016181,0.7388888888888889,0.3365695792880259,0.8180555555555555,0.6317451000213623,0.7708503603935242
Bound_Angle_Pose (142),Bound_Angle,0,0.5019442439079285,0.24211478233337402,0.5272403359413147,0.21036791801452637,0.4769050180912018,0.20987331867218018,0.5981934666633606,0.43788963556289673,0.3806195557117462,0.4282495677471161,0.5768705606460571,0.6845294237136841,0.4065527319908142,0.6868301033973694,0.5625,0.8808193668528864,0.43472222222222223,0.8677839851024208,0.5097222222222222,0.9702048417132216,0.48194444444444445,0.9664804469273743,0.5363837480545044,0.9342527389526367,0.4544345736503601,0.9293683767318726,0.5425496697425842,0.8017926216125488,0.41574177145957947,0.804062008857727,0.7707797288894653,0.7511271834373474,0.2056121826171875,0.7475676536560059,0.5708333333333333,0.9162011173184358,0.4316278398036957,0.9298108816146851,0.5218285918235779,0.9093813300132751,0.45685577392578125,0.9251101016998291,0.5097222222222222,0.9180633147113594,0.49047788977622986,0.9314855933189392
